index,source_id,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,,,
245,1231073970770833664,BooI,—,209.81997,15.00991,3.16,—,20.94,0.73,0.63,—,—,,,
246,1231067163247259904,BooI,—,209.82685,14.84828,2.38,—,19.52,0.33,0.99,—,—,,,
247,1230851246652121344,BooI,—,209.84872,14.62471,1.42,—,19.17,1.13,0.95,—,—,,,
248,1230678314088732672,BooI,—,209.84955,14.10324,2.37,—,20.20,0.76,0.58,—,—,,,
249,1230827542727194624,BooI,—,209.85214,14.38899,1.29,—,20.64,0.72,0.80,—,—,,,
250,1230651925809484800,BooI,—,209.85708,13.80260,3.83,—,19.72,0.12,0.98,—,—,,,
251,1230827538432572416,BooI,—,209.85726,14.39589,1.24,—,19.44,0.67,0.97,—,—,,,
252,1230826679439105024,BooI,—,209.85783,14.37071,1.30,—,20.57,0.88,0.78,—,—,,,
253,1230848016836700416,BooI,—,209.86137,14.58644,1.24,—,20.82,0.68,0.89,—,—,,,
254,1231073829036540160,BooI,—,209.86327,15.00787,3.01,—,19.70,0.42,0.87,—,—,,,
255,1230847364001656832,BooI,—,209.86582,14.55203,1.15,—,19.74,0.03,1.00,—,—,,,
256,1230819704412148224,BooI,—,209.87232,14.17873,1.95,—,19.50,0.26,1.00,—,—,,,
257,1231098980365655296,BooI,—,209.87641,15.26266,4.28,—,19.49,0.88,0.86,—,—,,,
258,1231067678643343104,BooI,—,209.89229,14.88711,2.32,—,19.66,0.97,0.95,—,—,,,
259,1231099014725393408,BooI,—,209.89410,15.26219,4.24,—,19.58,0.12,0.99,—,—,,,
260,1230846539367928832,BooI,—,209.89438,14.53361,0.93,—,19.67,0.11,0.99,—,—,,,
261,1230828156907873792,BooI,—,209.89486,14.43174,0.94,—,19.62,0.12,0.99,—,—,,,
262,1230820151088760832,BooI,—,209.89824,14.22768,1.65,—,19.46,1.04,0.95,—,—,,,
263,1230826542000661504,BooI,—,209.90507,14.36265,1.06,—,19.86,0.84,0.91,—,—,,,
264,1230878253406017024,BooI,—,209.91093,14.77480,1.72,—,20.87,1.07,0.82,—,—,,,
265,1230853553049414400,BooI,—,209.91204,14.71430,1.43,—,18.98,1.08,0.99,—,—,,,
266,1230823312184727808,BooI,—,209.91798,14.32722,1.14,—,20.86,0.47,0.68,—,—,,,
267,1230827160475452928,BooI,—,209.91876,14.40405,0.86,—,20.32,1.15,0.92,—,—,,,
268,1231066647851184896,BooI,—,209.92313,14.84950,2.04,—,18.62,1.08,0.99,—,—,,,
269,1230651341693932544,BooI,—,209.92565,13.80315,3.75,—,19.52,0.22,0.99,—,—,,,
270,1230846745526362624,BooI,—,209.92794,14.54405,0.72,—,18.79,0.88,0.97,—,—,,,
271,1230849837902330368,BooI,—,209.94273,14.64852,1.01,—,19.59,0.23,1.00,—,—,,,
272,1230834135502357504,BooI,—,209.94697,14.46561,0.55,—,19.58,0.54,0.96,—,—,,,
273,1230833276508895744,BooI,—,209.94754,14.44997,0.58,—,19.96,0.87,0.72,—,—,,,
274,1230878837521588736,BooI,—,209.95242,14.82159,1.83,—,20.47,0.83,0.67,—,—,,,
275,1230772597210842624,BooI,—,209.95568,14.16816,1.81,—,19.43,0.51,0.95,—,—,,,
276,1230846814245300736,BooI,—,209.95721,14.54836,0.55,—,20.70,0.62,0.74,—,—,,,
277,1230848704030941184,BooI,—,209.96416,14.60385,0.72,—,18.81,0.96,1.00,—,—,,,
278,1230848708325982208,BooI,—,209.96553,14.59984,0.70,—,20.63,0.64,0.91,—,—,,,
279,1230877772369686272,BooI,—,209.97579,14.78907,1.61,—,19.54,1.08,0.92,—,—,,,
280,1230836540683527936,BooI,—,209.98028,14.54639,0.41,—,19.53,0.40,1.00,—,—,,,
281,1230848326073809408,BooI,—,209.98331,14.58193,0.54,—,19.58,0.54,0.72,—,—,,,
282,1230834994495293952,BooI,—,209.98427,14.53382,0.34,—,20.22,0.94,0.96,—,—,,,
283,1231068434557592832,BooI,—,209.99120,14.91901,2.27,—,19.65,0.22,0.99,—,—,,,
284,1230822040874388224,BooI,—,209.99145,14.26899,1.24,—,20.70,0.61,0.51,—,—,,,
285,1230833517027065600,BooI,—,209.99869,14.45941,0.27,—,19.41,0.60,0.94,—,—,,,
286,1230829668736347904,BooI,—,210.00170,14.38738,0.61,—,19.16,1.04,1.00,—,—,,,
287,1230878700082638336,BooI,—,210.00525,14.83133,1.79,—,20.31,0.93,0.91,—,—,,,
288,1230877531851510272,BooI,—,210.00957,14.77154,1.47,—,19.12,1.00,0.99,—,—,,,
289,1230833860623901696,BooI,—,210.01187,14.48568,0.11,—,20.90,-0.21,0.98,—,—,,,
290,1230830012333739008,BooI,—,210.01649,14.40727,0.50,—,19.60,0.21,1.00,—,—,,,
291,1230873614841298944,BooI,—,210.01965,14.68868,1.01,—,20.62,0.47,0.68,—,—,,,
292,1230830497665159680,BooI,—,210.02163,14.44077,0.32,—,19.65,-0.07,1.00,—,—,,,
293,1230833482666763264,BooI,—,210.02354,14.45130,0.26,—,19.38,0.66,0.98,—,—,,,
294,1230873786640002304,BooI,—,210.02541,14.71379,1.15,—,19.61,0.53,0.99,—,—,,,
295,1231068778154976256,BooI,—,210.02653,14.91695,2.23,—,19.42,1.02,0.79,—,—,,,
296,1230835441171882496,BooI,—,210.02657,14.51549,0.08,—,20.65,0.85,0.91,—,—,,,
297,1230836437604328704,BooI,—,210.03704,14.57336,0.40,—,19.52,0.55,0.98,—,—,,,
298,1230877566211251712,BooI,—,210.04219,14.77930,1.49,—,19.14,1.03,1.00,—,—,,,
299,1230775483428906496,BooI,—,210.04608,14.28973,1.15,—,20.39,0.66,0.50,—,—,,,
300,1230772047455028224,BooI,—,210.04614,14.16752,1.80,—,20.53,0.98,0.52,—,—,,,
301,1230829771815569664,BooI,—,210.04618,14.40544,0.54,—,19.37,0.64,0.96,—,—,,,
302,1230659588031211264,BooI,—,210.05592,13.91323,3.17,—,19.01,0.98,0.90,—,—,,,
303,1230879181118967808,BooI,—,210.05699,14.80942,1.66,—,20.63,0.58,0.62,—,—,,,
304,1230874164597130496,BooI,—,210.06166,14.72849,1.23,—,19.44,1.01,0.99,—,—,,,
305,1230829393857871616,BooI,—,210.06497,14.40355,0.60,—,19.63,0.20,1.00,—,—,,,
306,1230830184131867392,BooI,—,210.06672,14.42473,0.51,—,19.15,1.07,1.00,—,—,,,
307,1230835544251105280,BooI,—,210.06731,14.52972,0.32,—,20.66,0.71,0.87,—,—,,,
308,1230828947181261824,BooI,—,210.07734,14.38042,0.76,—,18.90,1.13,1.00,—,—,,,
309,1230661065502765824,BooI,—,210.08096,13.99395,2.77,—,18.12,1.13,0.99,—,—,,,
310,1230873412977867520,BooI,—,210.08316,14.72135,1.22,—,20.51,0.66,0.85,—,—,,,
311,1230829118979954432,BooI,—,210.08941,14.38281,0.79,—,19.86,1.01,0.99,—,—,,,
312,1230860695583613696,BooI,—,210.08976,14.62465,0.78,—,19.52,0.56,1.00,—,—,,,
313,1231078398881778432,BooI,—,210.09065,15.08788,3.15,—,19.81,-0.16,0.64,—,—,,,
314,1230887083858828032,BooI,—,210.09103,14.94891,2.42,—,20.09,1.09,0.85,—,—,,,
315,1230829153339697664,BooI,—,210.10535,14.39135,0.83,—,20.37,1.06,0.96,—,—,,,
316,1230835853488763136,BooI,—,210.10727,14.55231,0.61,—,19.52,0.60,1.00,—,—,,,
317,1230859630427736832,BooI,—,210.11190,14.59251,0.75,—,19.46,0.32,1.00,—,—,,,
318,1230861210975733504,BooI,—,210.12488,14.65789,1.05,—,19.87,1.00,0.97,—,—,,,
319,1230835784769285632,BooI,—,210.12736,14.55158,0.74,—,19.51,0.32,0.99,—,—,,,
320,1230874748712681984,BooI,—,210.13725,14.72687,1.39,—,19.59,0.37,0.96,—,—,,,
321,1230780637390847232,BooI,—,210.15527,14.31491,1.38,—,20.80,0.54,0.78,—,—,,,
322,1230777201415813632,BooI,—,210.16811,14.25687,1.69,—,20.54,0.80,0.53,—,—,,,
323,1230860111464091648,BooI,—,210.16937,14.62892,1.17,—,19.63,0.07,1.00,—,—,,,
324,1230859909601056768,BooI,—,210.17197,14.61236,1.14,—,20.10,0.89,0.96,—,—,,,
325,1229890376568407296,BooI,—,210.17969,13.55215,5.26,—,19.68,0.17,0.86,—,—,,,
326,1230875538986689536,BooI,—,210.18061,14.78411,1.80,—,20.56,0.78,0.79,—,—,,,
327,1230783729765579520,BooI,—,210.18768,14.40273,1.26,—,20.74,0.74,0.74,—,—,,,
328,1231459963776551936,BooI,—,210.19247,15.28623,4.29,—,19.64,0.20,0.97,—,—,,,
329,1230777270134712064,BooI,—,210.19585,14.26598,1.78,—,20.64,0.62,0.69,—,—,,,
330,1230875435907473920,BooI,—,210.19759,14.78402,1.86,—,20.39,1.16,0.64,—,—,,,
331,1230855163661700608,BooI,—,210.20173,14.50640,1.21,—,20.17,0.88,0.92,—,—,,,
332,1230769882791510528,BooI,—,210.20489,14.16427,2.25,—,20.77,1.01,0.65,—,—,,,
333,1230875474562491904,BooI,—,210.21257,14.79886,1.98,—,19.68,0.17,0.98,—,—,,,
334,1230863513078248704,BooI,—,210.21792,14.75422,1.83,—,19.21,0.88,0.93,—,—,,,
335,1230784039003230720,BooI,—,210.22499,14.41309,1.48,—,20.65,0.70,0.52,—,—,,,
336,1230881792459098624,BooI,—,210.23772,14.85467,2.31,—,19.69,0.95,0.72,—,—,,,
337,1230856572411010304,BooI,—,210.24859,14.57166,1.55,—,19.84,0.72,0.75,—,—,,,
338,1230756791731180032,BooI,—,210.27146,14.09729,2.83,—,20.78,0.83,0.60,—,—,,,
339,1230776376781505536,BooI,—,210.27720,14.24164,2.29,—,19.46,0.63,0.51,—,—,,,
340,1230779473453197056,BooI,—,210.28911,14.34780,2.04,—,20.42,0.91,0.55,—,—,,,
341,1230882273495441408,BooI,—,210.29304,14.87886,2.64,—,19.59,0.27,0.94,—,—,,,
342,1231265251434486016,BooI,—,210.29471,15.10058,3.60,—,16.31,1.44,1.00,—,—,,,
343,1230753561915765760,BooI,—,210.30546,14.06466,3.13,—,20.80,0.96,0.56,—,—,,,
344,1230857465764224256,BooI,—,210.30977,14.60247,1.99,—,19.64,0.15,1.00,—,—,,,
345,1230751534691179520,BooI,—,210.31906,13.94736,3.70,—,20.08,1.00,0.62,—,—,,,
346,1230764179074370304,BooI,—,210.32553,14.18046,2.77,—,19.99,0.99,0.76,—,—,,,
347,1230751981367787008,BooI,—,210.32660,13.99796,3.51,—,19.72,1.14,0.86,—,—,,,
348,1230763423160123392,BooI,—,210.32679,14.16674,2.83,—,18.19,1.08,0.98,—,—,,,
349,1230857190886308352,BooI,—,210.33151,14.58303,2.12,—,19.84,0.88,0.80,—,—,,,
350,1230884335079756288,BooI,—,210.34918,14.93722,3.11,—,20.96,0.44,0.74,—,—,,,
351,1230884472518714368,BooI,—,210.37436,14.96069,3.31,—,19.73,1.13,0.82,—,—,,,
352,1230864990546977792,BooI,—,210.37687,14.70699,2.58,—,19.83,1.01,0.79,—,—,,,
353,1231264907837100800,BooI,—,210.38561,15.11408,3.97,—,16.52,1.41,1.00,—,—,,,
354,1230809774447356928,BooI,—,210.45113,14.57703,2.92,—,19.57,0.64,0.64,—,—,,,
355,1230789197259464192,BooI,—,210.47068,14.27833,3.36,—,20.04,1.04,0.67,—,—,,,
356,1230805651278706432,BooI,—,210.47713,14.49475,3.10,—,19.13,1.17,0.62,—,—,,,
357,1231271431892634624,BooI,—,210.69886,15.25604,5.92,—,19.49,1.01,0.57,—,—,,,
358,1231258478271048192,BooI,—,210.70010,15.15507,5.60,—,19.65,0.30,0.81,—,—,,,
359,1229802209479252992,BooI,—,210.72214,13.08108,9.28,—,19.64,0.02,0.61,—,—,,,
